Region,Site,Code,CodeOriginal,Name,Native,Duration,Lifeform
Colorado Plateau,BarTBar,PORSPP.BarTBar,PORSPP,"Portulaca spp., BarTBar",Native,Unknown,Forb
Colorado Plateau,FlyingM,PORSPP.FlyingM,PORSPP,"Portulaca spp., FlyingM",Native,Unknown,Forb
Colorado Plateau,PEFO,PORSPP.PEFO,PORSPP,"Portulaca spp., PEFO",Native,Unknown,Forb
Sonoran SE,Patagonia,PORSPP.Patagonia,PORSPP,"Portulaca spp., Patagonia",Native,Unknown,Forb
Sonoran SE,Patagonia,SIDSPP.Patagonia,SIDSPP,"Sida spp., Patagonia",Native/Unknown,Unknown,Forb
Sonoran SE,SRER,SIDSPP.SRER,SIDSPP,"Sida spp., SRER",Native/Unknown,Unknown,Forb
Colorado Plateau,FlyingM,SOSP.FlyingM,SOSP,"Solanum spp., FlyingM",Native/Unknown,Unknown,Forb
Colorado Plateau,AguaFria,SPSP.AguaFria,SPSP,"Sphaeralcea spp., AguaFria",Native/Unknown,Unknown,Forb
Colorado Plateau,BarTBar,SPSP.BarTBar,SPSP,"Sphaeralcea spp., BarTBar",Native/Unknown,Unknown,Forb
Colorado Plateau,FlyingM,SPSP.FlyingM,SPSP,"Sphaeralcea spp., FlyingM",Native/Unknown,Unknown,Forb
Colorado Plateau,TLE,SPSP.TLE,SPSP,"Sphaeralcea spp., TLE",Native/Unknown,Unknown,Forb
Utah,UtahPJ,SPSP.UtahPJ,SPSP,"Sphaeralcea spp., UtahPJ",Native/Unknown,Unknown,Forb
Mojave,29_Palms,STISPP.29_Palms,STISPP,"Stipa spp., 29_Palms",Native/Unknown,Unknown,Grass
Sonoran SE,SRER,UNDPF.SRER,UNDPF,"Unknown dead pod forb, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNDSF.SRER,UNDSF,"Unknown dead spikey forb, SRER",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO-1.Patagonia,UNFO-1,"Unknown forb (Patagonia); Soft and fuzzy/hairy, serated leaves with middle vein underneath on bottom side of the leaf, pickle smell, Patagonia",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO-1.SRER,UNFO-1,"Unknown forb (SRER); Umbilliferae family, thin lacey divided leaves with small white flowers in umbels at the top, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO-2.SRER,UNFO-2,"Unknown forb (SRER); Super hairy almost spikey looking with pinately lobed leaves, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO-3.SRER,UNFO-3,"Unknown forb (SRER); Androsace species (or possibly a cynquifoil), small basal leaves typically with a reddish color, with a reddish long thin stem, with artichoke head-like tops, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO-4.SRER,UNFO-4,"Unknown forb (SRER); Possibly a Linum species (Flax), basal rosette, narrow rounded leaves opposite along and close to an upright stem, SRER",Unknown,Unknown,Forb
Utah,Salt_Desert,UNFO.12576.assigned.Salt_Desert,UNFO.12576.assigned,"Unknown forb with assigned code, and manually entered, Salt_Desert",Unknown,Unknown,Forb
Colorado Plateau,AguaFria,UNFO1.AguaFria,UNFO1,"Unknown forb 1, AguaFria",Unknown,Unknown,Forb
Colorado Plateau,BabbittPJ,UNFO1.BabbittPJ,UNFO1,"Unknown forb 1, BabbittPJ",Unknown,Unknown,Forb
Colorado Plateau,FlyingM,UNFO1.FlyingM,UNFO1,"Unknown forb 1, FlyingM",Unknown,Unknown,Forb
Colorado Plateau,MOWE,UNFO1.MOWE,UNFO1,"Unknown forb 1, MOWE",Unknown,Unknown,Forb
Colorado Plateau,PEFO,UNFO1.PEFO,UNFO1,"Unknown forb 1, PEFO",Unknown,Unknown,Forb
Mojave,29_Palms,UNFO1.29_Palms,UNFO1,"Unknown forb 1, 29_Palms",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO1.Patagonia,UNFO1,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, Patagonia",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO1.SRER,UNFO1,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, SRER",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO1A.Patagonia,UNFO1A,"Unknown forb (Patagonia, Nov 2019); Darker Green, 5 petals radiating out, Patagonia",Unknown,Unknown,Forb
Colorado Plateau,PEFO,UNFO2.PEFO,UNFO2,"Unknown forb 2, PEFO",Unknown,Unknown,Forb
Colorado Plateau,AguaFria,UNFO2.AguaFria,UNFO2,"Unknown forb 2, AguaFria",Unknown,Unknown,Forb
Colorado Plateau,FlyingM,UNFO2.FlyingM,UNFO2,"Unknown forb 2, FlyingM",Unknown,Unknown,Forb
Colorado Plateau,MOWE,UNFO2.MOWE,UNFO2,"Unknown forb 2, MOWE",Unknown,Unknown,Forb
Colorado Plateau,Spiderweb,UNFO2.Spiderweb,UNFO2,"Unknown forb 2, Spiderweb",Unknown,Unknown,Forb
Colorado Plateau,TLE,UNFO2.TLE,UNFO2,"Unknown forb 2, TLE",Unknown,Unknown,Forb
Mojave,29_Palms,UNFO2.29_Palms,UNFO2,"Unknown forb 2, 29_Palms",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO2.Patagonia,UNFO2,"Unknown forb (Patagonia); low to ground, succulenty, tiny white flowers, similar to purslane, Patagonia",Unknown,Unknown,Forb
Utah,CRC,UNFO2.CRC,UNFO2,"Unknown forb 2, CRC",Unknown,Unknown,Forb
Utah,UtahPJ,UNFO2.UtahPJ,UNFO2,"Unknown forb 2, UtahPJ",Unknown,Unknown,Forb
Colorado Plateau,AguaFria,UNFO3.AguaFria,UNFO3,"Unknown forb 3, AguaFria",Unknown,Unknown,Forb
Colorado Plateau,BarTBar,UNFO3.BarTBar,UNFO3,"Unknown forb 3, BarTBar",Unknown,Unknown,Forb
Colorado Plateau,FlyingM,UNFO3.FlyingM,UNFO3,"Unknown forb 3, FlyingM",Unknown,Unknown,Forb
Colorado Plateau,Spiderweb,UNFO3.Spiderweb,UNFO3,"Unknown forb 3, Spiderweb",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO3.Patagonia,UNFO3,"Unknown forb (Patagonia); upright mustard with small pods and tiny yellow flowers, Patagonia",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO3.SRER,UNFO3,"Unknown forb (SRER); tiny reddish basal leaves, star-like petals, SRER",Unknown,Unknown,Forb
Utah,UtahPJ,UNFO3.UtahPJ,UNFO3,"Unknown forb 3, UtahPJ",Unknown,Unknown,Forb
Utah,CRC,UNFO3.CRC,UNFO3,"Unknown forb 3, CRC",Unknown,Unknown,Forb
Colorado Plateau,AguaFria,UNFO4.AguaFria,UNFO4,"Unknown forb 4, AguaFria",Unknown,Unknown,Forb
Colorado Plateau,BarTBar,UNFO4.BarTBar,UNFO4,"Unknown forb 4, BarTBar",Unknown,Unknown,Forb
Colorado Plateau,FlyingM,UNFO4.FlyingM,UNFO4,"Unknown forb 4, FlyingM",Unknown,Unknown,Forb
Colorado Plateau,MOWE,UNFO4.MOWE,UNFO4,"Unknown forb 4, MOWE",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO4.SRER,UNFO4,"Unknown forb (SRER); very hairy radiating out/up, fuzzy rosettes, SRER",Unknown,Unknown,Forb
Utah,Salt_Desert,UNFO4.Salt_Desert,UNFO4,"Unknown forb 4, Salt_Desert",Unknown,Unknown,Forb
Utah,UtahPJ,UNFO4.UtahPJ,UNFO4,"Unknown forb 4, UtahPJ",Unknown,Unknown,Forb
Colorado Plateau,AguaFria,UNFO5.AguaFria,UNFO5,"Unknown forb 5, AguaFria",Unknown,Unknown,Forb
Colorado Plateau,FlyingM,UNFO5.FlyingM,UNFO5,"Unknown forb 5, FlyingM",Unknown,Unknown,Forb
Colorado Plateau,MOWE,UNFO5.MOWE,UNFO5,"Unknown forb 5, MOWE",Unknown,Unknown,Forb
Colorado Plateau,Spiderweb,UNFO5.Spiderweb,UNFO5,"Unknown forb 5, Spiderweb",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO5.Patagonia,UNFO5,"Unknown forb (Patagonia); Similar to dandelion, yellow closed flowers, Patagonia",Unknown,Unknown,Forb
Utah,UtahPJ,UNFO5.UtahPJ,UNFO5,"Unknown forb 5, UtahPJ",Unknown,Unknown,Forb
Colorado Plateau,AguaFria,UNFO6.AguaFria,UNFO6,"Unknown forb 6, AguaFria",Unknown,Unknown,Forb
Colorado Plateau,FlyingM,UNFO6.FlyingM,UNFO6,"Unknown forb 6, FlyingM",Unknown,Unknown,Forb
Colorado Plateau,Spiderweb,UNFO6.Spiderweb,UNFO6,"Unknown forb 6, Spiderweb",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO6.Patagonia,UNFO6,"Unknown forb; green, young, radiating basal leaves; slightly fuzzy; Patagonia, Patagonia",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO6.SRER,UNFO6,"Unknown forb (SRER); Very small, long slender leaves, fuzzy, leaf toothed around margins. Possibly Heterotheca grandiflora, SRER",Unknown,Unknown,Forb
Utah,UtahPJ,UNFO6.UtahPJ,UNFO6,"Unknown forb 6, UtahPJ",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_1.Patagonia,UNFO_P_1,"Unknown forb; small reddish purple rosette with ovate leaves (Spring 2021), Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_2.Patagonia,UNFO_P_2,"Unknown forb; Pinated leaves, upright rosette, lighter green, Ambrosia?  (Spring 2021), Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_3.Patagonia,UNFO_P_3,"Unknown forb; Fabeacea (pea), long and spindly (Spring 2021), Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_4.Patagonia,UNFO_P_4,"Unkown forb; Unknown Fabeacea (Pea), short and fuzzy, chunky, Acmispon Brachycarpus? (Spring 2021), Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_5.Patagonia,UNFO_P_5,"Unknown forb; Prominent mid-vein, leaf doesn't completely surround/there's good amount of petiole, ovate leaves that're slightly speckled, oenothera? (Spring 2021), Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_6.Patagonia,UNFO_P_6,"Unknown forb; Super tiny, red thin stem like SAIB but the top leaves are compounded with 3 leaflets, Amaranthaceae? (Spring 2021), Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_7.Patagonia,UNFO_P_7,"Unknown forb; Rosette leaves slightly fuzzy and silvery light green. simple leaves, smells like bandaids (Spring 2021), Patagonia",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO_S_1.SRER,UNFO_S_1,"Unknown forb; Purple vine, sagitate leaves (Spring 2021), SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO_S_3.SRER,UNFO_S_3,"Unknown forb; Fuzzy green penately arranged leaflets, partially pinated lobes ""thick poppy"" possibly an ambrosia (Spring 2021), SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO_S_4.SRER,UNFO_S_4,"Unknown forb; Super tiny, very spikey, pinately lobed, possible cryptantha or plagiobothrys (Spring 2021), SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO_S_5.SRER,UNFO_S_5,"Unknown forb; Silky hairy fuzzy, straight leaves, no prominent veination, pseudognaphalium? (Spring 2021), SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO_S_7.SRER,UNFO_S_7,"Unknown forb; ""artichoke head"", stem leaves alternate, basal rosette, possibly cryptantha? (Spring 2021), SRER",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFS.Patagonia,UNFS,"Unknown forb seedling, Patagonia",Unknown,Unknown,Forb
Colorado Plateau,AguaFria,UNGR1.AguaFria,UNGR1,"Unknown grass 1, AguaFria",Unknown,Unknown,Grass
Colorado Plateau,BabbittPJ,UNGR1.BabbittPJ,UNGR1,"Unknown grass 1, BabbittPJ",Unknown,Unknown,Grass
Colorado Plateau,FlyingM,UNGR1.FlyingM,UNGR1,"Unknown grass 1, FlyingM",Unknown,Unknown,Grass
Colorado Plateau,MOWE,UNGR1.MOWE,UNGR1,"Unknown grass 1, MOWE",Unknown,Unknown,Grass
Colorado Plateau,PEFO,UNGR1.PEFO,UNGR1,"Unknown grass 1, PEFO",Unknown,Unknown,Grass
Sonoran SE,Patagonia,UNGR1.Patagonia,UNGR1,"Unknown grass 1, Patagonia",Unknown,Unknown,Grass
Sonoran SE,SRER,UNGR1.SRER,UNGR1,"Unknown grass (SantaRita); Possibly BOER or Aristida spp (so likely unseeded), SRER",Unknown,Unknown,Grass
Utah,UtahPJ,UNGR1.UtahPJ,UNGR1,"Unknown grass 1, UtahPJ",Unknown,Unknown,Grass
Utah,Salt_Desert,UNGR1.Salt_Desert,UNGR1,"Unknown grass 1, Salt_Desert",Unknown,Unknown,Grass
Sonoran SE,SRER,UNGRS1.SRER,UNGRS1,"Unknown grass (Patagonia);Unk. grass seedling, bunchy, possible lovegrass?, SRER",Unknown,Unknown,Grass
Sonoran SE,Patagonia,UNGRS1.Patagonia,UNGRS1,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, Patagonia",Unknown,Unknown,Grass
Sonoran SE,Patagonia,UNGRS2.Patagonia,UNGRS2,"Unknown grass (Patagonia); Unk grass seedling, leaf divided early like BOGR, possible lovegrass?, Patagonia",Unknown,Unknown,Grass
Sonoran SE,Patagonia,UNGRS3.Patagonia,UNGRS3,"Unknown grass (Patagonia); Lighter green, thin leaves, possible threeawn?, Patagonia",Unknown,Unknown,Grass
Sonoran SE,Patagonia,UNGR_P_1.Patagonia,UNGR_P_1,"Unknown grass; Possibly small ARIsp. (Spring 2021), Patagonia",Unknown,Unknown,Grass
Sonoran SE,SRER,UNGR_S_1.SRER,UNGR_S_1,"Unknown grass; Grass seedling short erose ligule slight chance ARPU because of 45 degree leaf or possibly a Vulpia sp. like VUOC (Spring 2021), SRER",Unknown,Unknown,Grass
Sonoran SE,SRER,UNGR_S_2.SRER,UNGR_S_2,"Unknown grass; Possibly a BOCU or another Bouteloua (Spring 2021), SRER",Native,Unknown,Grass
Sonoran SE,SRER,UNSFF.SRER,UNSFF,"Unknown shrubby fuzzy forb, munched down, SRER",Unknown,Unknown,Forb
Colorado Plateau,BarTBar,UNSH.BarTBar,UNSH,"Unknown shrub, BarTBar",Unknown,Perennial,Shrub
Sonoran SE,Patagonia,UNSHR-1.Patagonia,UNSHR-1,"Unknown shrub (Patagonia); mesquite or acacia, Patagonia",Native,Unknown,Shrub
Sonoran Central,Pleasant,Unk bunchGrass #1.Pleasant,Unk bunchGrass #1,"Could be BOCU, Pleasant",Unknown,Unknown,Grass
Sonoran Central,SCC,Unk grass.SCC,Unk grass,"Unknown likely associated with warm seed mix, SCC",Unknown,Unknown,Grass
Sonoran Central,Preserve,Unk heart.Preserve,Unk heart,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve",Unknown,Unknown,Forb
Sonoran Central,Pleasant,Unk sp..Pleasant,Unk sp.,"Unknown species, Pleasant",Unknown,Unknown,Unknown
Sonoran Central,SCC,Unk sp..SCC,Unk sp.,"Unknown species, SCC",Unknown,Unknown,Unknown
Chihuahuan,Mesquite,UnkATCA.Mesquite,UnkATCA,"Unknown shrub; Possible Atriplex canescens, Mesquite",Native/Unknown,Perennial,Shrub
Chihuahuan,Creosote,Unkcrypt.Creosote,Unkcrypt,"Cryptantha spp., Creosote",Native,Unknown,Forb
Chihuahuan,Creosote,Unkfabaceae.Creosote,Unkfabaceae,"Unknown fabaceae, Creosote",Unknown,Unknown,Forb
Chihuahuan,Creosote,Unkforb.Creosote,Unkforb,"Unknown forb, Creosote",Unknown,Unknown,Forb
Chihuahuan,Mesquite,Unkforb.Mesquite,Unkforb,"Unknown forb, Mesquite",Unknown,Unknown,Forb
Chihuahuan,Creosote,Unkforb1.Creosote,Unkforb1,"Unknown forb, Creosote",Unknown,Unknown,Forb
Chihuahuan,Creosote,Unkgrass.Creosote,Unkgrass,"Unknown grass, Creosote",Unknown,Unknown,Grass
Chihuahuan,Mesquite,Unkgrass.Mesquite,Unkgrass,"Unknown grass, Mesquite",Unknown,Unknown,Grass
Chihuahuan,Creosote,Unkgrass2.Creosote,Unkgrass2,"Unknown grass 2, Creosote",Unknown,Unknown,Grass
Chihuahuan,Creosote,Unksalsola.Creosote,Unksalsola,"Unknown forb; A very small (tiny really) forb germinant that has linear leaves like a small Salsola would. Unlikely to be salsola but best way to distinguish it from other unks., Creosote",Unknown,Unknown,Forb
Chihuahuan,Creosote,Unksporo.Creosote,Unksporo,"Unknown grass; Sporobolus and Eragrostis, Creosote",Unknown,Unknown,Grass
Chihuahuan,Mesquite,Unksporo.Mesquite,Unksporo,"Unknown grass; Sporobolus and Eragrostis, Mesquite",Unknown,Unknown,Grass
Chihuahuan,Mesquite,Unksporob.Mesquite,Unksporob,"Sporobolus spp., Mesquite",Unknown,Unknown,Grass
